state,s_curs,a_curs,curs,stateT,dot,curPrd,Prdflat
7,153.0,-64.0,1397,3,1406,1697,1697.0
4,67.0,-41.0,1464,0,1454,1464,1686.0
6,11.0,-142.0,1475,2,1495,1675,1675.0
4,7.0,-60.0,1482,0,1529,1482,1630.0
5,3.0,-8.0,1485,1,1556,1585,1585.0
4,6.0,-1.0,1491,0,1575,1491,1642.0
6,8.0,5.0,1499,2,1585,1699,1699.0
4,15.0,9.0,1514,0,1588,1514,1662.0
5,11.0,3.0,1525,1,1583,1625,1625.0
4,1.0,-14.0,1526,0,1571,1526,1425.5
1,0.0,-11.0,1526,-3,1552,1226,1226.0
4,-5.0,-6.0,1521,0,1526,1521,1214.0
1,-19.0,-19.0,1502,-3,1493,1202,1202.0
4,-22.0,-17.0,1480,0,1458,1480,1272.5
3,-37.0,-18.0,1443,-1,1417,1343,1343.0
4,-48.0,-26.0,1395,0,1373,1395,1298.0
3,-42.0,-5.0,1353,-1,1325,1253,1253.0
4,-46.0,2.0,1307,0,1275,1307,1308.0
5,-44.0,-2.0,1263,1,1224,1363,1363.0
4,-37.0,9.0,1226,0,1171,1226,1408.0
7,-73.0,-29.0,1153,3,1120,1453,1453.0
4,-70.0,-33.0,1083,0,1068,1083,1386.5
7,-63.0,10.0,1020,3,1018,1320,1320.0
4,-44.0,26.0,976,0,970,976,1082.5
3,-31.0,32.0,945,-1,924,845,845.0
4,-31.0,13.0,914,0,881,914,822.0
3,-15.0,16.0,899,-1,841,799,799.0
4,-15.0,16.0,884,0,804,884,682.0
1,-19.0,-4.0,865,-3,771,565,565.0
4,-9.0,6.0,856,0,742,856,555.5
1,-10.0,9.0,846,-3,717,546,546.0
4,-1.0,8.0,845,0,696,845,644.5
3,-2.0,8.0,843,-1,678,743,743.0
4,-1.0,0.0,842,0,666,842,692.0
2,-1.0,1.0,841,-2,657,641,641.0
4,0.0,1.0,841,0,651,841,641.0
2,0.0,1.0,841,-2,650,641,641.0
4,0.0,0.0,841,0,652,841,641.0
2,0.0,0.0,841,-2,657,641,641.0
4,0.0,0.0,841,0,665,841,591.0
1,0.0,0.0,841,-3,677,541,541.0
4,0.0,0.0,841,0,691,841,791.0
6,0.0,0.0,841,2,707,1041,1041.0
4,-9.0,-9.0,832,0,726,832,971.5
5,-30.0,-30.0,802,1,745,902,902.0
4,-25.0,-16.0,777,0,767,777,986.0
7,-7.0,23.0,770,3,789,1070,1070.0
4,-4.0,21.0,766,0,813,766,967.5
5,-1.0,6.0,765,1,836,865,865.0
4,0.0,4.0,765,0,860,765,765.0
3,0.0,1.0,765,-1,884,665,665.0
4,1.0,1.0,766,0,908,766,669.5
3,8.0,8.0,774,-1,930,674,674.0
4,9.0,8.0,783,0,952,783,638.5
2,20.0,12.0,803,-2,972,603,603.0
4,42.0,33.0,845,0,990,845,640.0
2,32.0,12.0,877,-2,1007,677,677.0
4,46.0,4.0,923,0,1022,923,761.0
3,22.0,-10.0,945,-1,1034,845,845.0
4,5.0,-41.0,950,0,1044,950,1049.0
7,3.0,-19.0,953,3,1051,1253,1253.0
4,6.0,1.0,959,0,1056,959,1259.5
7,7.0,4.0,966,3,1058,1266,1266.0
4,11.0,5.0,977,0,1057,977,1272.0
7,1.0,-6.0,978,3,1054,1278,1278.0
4,0.0,-11.0,978,0,1048,978,1277.5
7,-1.0,-2.0,977,3,1039,1277,1277.0
4,-11.0,-11.0,966,0,1029,966,1218.0
6,-7.0,-6.0,959,2,1017,1159,1159.0
4,-8.0,3.0,951,0,1003,951,1097.0
5,-16.0,-9.0,935,1,989,1035,1035.0
4,-26.0,-18.0,909,0,975,909,910.5
3,-23.0,-7.0,886,-1,962,786,786.0
4,-21.0,5.0,865,0,950,865,666.5
1,-18.0,5.0,847,-3,939,547,547.0
4,-23.0,-2.0,824,0,931,824,525.5
1,-20.0,-2.0,804,-3,924,504,504.0
4,-22.0,1.0,782,0,920,782,472.5
1,-41.0,-21.0,741,-3,918,441,441.0
4,-31.0,-9.0,710,0,919,710,405.0
1,-41.0,0.0,669,-3,923,369,369.0
4,-36.0,-5.0,633,0,929,633,441.5
3,-19.0,22.0,614,-1,939,514,514.0
4,-16.0,20.0,598,0,951,598,502.0
3,-8.0,11.0,590,-1,967,490,490.0
4,-4.0,12.0,586,0,984,586,637.5
6,-1.0,7.0,585,2,1004,785,785.0
4,0.0,4.0,585,0,1027,585,535.0
1,0.0,1.0,585,-3,1051,285,285.0
4,0.0,0.0,585,0,1076,585,586.0
7,2.0,2.0,587,3,1103,887,887.0
4,5.0,5.0,592,0,1131,592,841.5
6,4.0,2.0,596,2,1158,796,796.0
4,25.0,20.0,621,0,1185,621,779.0
5,41.0,37.0,662,1,1212,762,762.0
4,21.0,-4.0,683,0,1237,683,785.5
5,26.0,-15.0,709,1,1260,809,809.0
4,33.0,12.0,742,0,1281,742,647.0
1,43.0,17.0,785,-3,1299,485,485.0
4,178.0,145.0,963,0,1314,963,731.0
2,214.0,171.0,1177,-2,1325,977,977.0
4,166.0,-12.0,1343,0,1331,1343,1043.5
1,67.0,-147.0,1410,-3,1333,1110,1110.0
4,52.0,-114.0,1462,0,1330,1462,1150.5
1,29.0,-38.0,1491,-3,1321,1191,1191.0
4,8.0,-44.0,1499,0,1307,1499,1195.5
1,1.0,-28.0,1500,-3,1288,1200,1200.0
4,0.0,-8.0,1500,0,1263,1500,1300.0
3,0.0,-1.0,1500,-1,1231,1400,1400.0
4,0.0,0.0,1500,0,1196,1500,1500.0
5,0.0,0.0,1500,1,1155,1600,1600.0
4,0.0,0.0,1500,0,1109,1500,1400.0
1,0.0,0.0,1500,-3,1059,1200,1200.0
4,0.0,0.0,1500,0,1004,1500,1397.0
5,-6.0,-6.0,1494,1,947,1594,1594.0
4,-36.0,-36.0,1458,0,888,1458,1407.5
3,-137.0,-131.0,1321,-1,826,1221,1221.0
4,-253.0,-217.0,1068,0,764,1068,1071.0
5,-247.0,-110.0,821,1,702,921,921.0
4,-96.0,157.0,725,0,642,725,684.0
2,-78.0,169.0,647,-2,583,447,447.0
4,-17.0,79.0,630,0,527,630,387.0
1,-3.0,75.0,627,-3,475,327,327.0
4,-2.0,15.0,625,0,428,625,375.5
2,-1.0,2.0,624,-2,387,424,424.0
4,-2.0,0.0,622,0,352,622,471.5
3,-3.0,-2.0,619,-1,324,519,519.0
4,-1.0,1.0,618,0,304,618,468.5
2,0.0,3.0,618,-2,292,418,418.0
4,0.0,1.0,618,0,288,618,469.5
3,3.0,3.0,621,-1,293,521,521.0
4,16.0,16.0,637,0,306,637,535.5
3,13.0,10.0,650,-1,328,550,550.0
4,35.0,19.0,685,0,358,685,786.0
7,37.0,24.0,722,3,394,1022,1022.0
4,38.0,3.0,760,0,442,760,1008.5
6,35.0,-2.0,795,2,488,995,995.0
4,53.0,15.0,848,0,542,848,1066.5
6,90.0,55.0,938,2,601,1138,1138.0
4,38.0,-15.0,976,0,662,976,1123.0
5,32.0,-58.0,1008,1,724,1108,1108.0
4,31.0,-7.0,1039,0,787,1039,1031.5
3,16.0,-16.0,1055,-1,848,955,955.0
4,38.0,7.0,1093,0,907,1093,886.5
1,25.0,9.0,1118,-3,961,818,818.0
4,12.0,-26.0,1130,0,1012,1130,827.0
1,6.0,-19.0,1136,-3,1056,836,836.0
4,2.0,-10.0,1138,0,1093,1138,945.0
3,16.0,10.0,1154,-1,1123,1054,1054.0
4,20.0,18.0,1174,0,1145,1174,1176.0
5,24.0,8.0,1198,1,1159,1298,1298.0
4,20.0,0.0,1218,0,1164,1218,1412.5
7,9.0,-15.0,1227,3,1160,1527,1527.0
4,12.0,-8.0,1239,0,1149,1239,1541.0
7,16.0,7.0,1255,3,1131,1555,1555.0
4,18.0,6.0,1273,0,1106,1273,1521.0
6,14.0,-2.0,1287,2,1075,1487,1487.0
4,0.0,-18.0,1287,0,1040,1287,1437.0
5,0.0,-14.0,1287,1,1002,1387,1387.0
4,0.0,0.0,1287,0,962,1287,1282.0
3,-10.0,-10.0,1277,-1,922,1177,1177.0
4,-53.0,-53.0,1224,0,883,1224,1064.0
2,-73.0,-63.0,1151,-2,847,951,951.0
4,-156.0,-103.0,995,0,814,995,751.0
1,-144.0,-71.0,851,-3,787,551,551.0
4,-95.0,61.0,756,0,766,756,463.0
1,-81.0,63.0,675,-3,754,375,375.0
4,-54.0,41.0,621,0,750,621,383.0
2,-30.0,51.0,591,-2,755,391,391.0
4,-32.0,22.0,559,0,768,559,413.0
3,-24.0,6.0,535,-1,792,435,435.0
4,-8.0,24.0,527,0,821,527,430.5
3,-1.0,23.0,526,-1,858,426,426.0
4,0.0,8.0,526,0,902,526,426.5
3,1.0,2.0,527,-1,952,427,427.0
4,10.0,10.0,537,0,1006,537,454.5
3,45.0,44.0,582,-1,1064,482,482.0
4,104.0,94.0,686,0,1124,686,576.5
3,85.0,40.0,771,-1,1185,671,671.0
4,95.0,-9.0,866,0,1246,866,896.5
6,56.0,-29.0,922,2,1306,1122,1122.0
4,30.0,-65.0,952,0,1363,952,1212.0
7,50.0,-6.0,1002,3,1417,1302,1302.0
4,102.0,72.0,1104,0,1467,1104,1368.0
7,30.0,-20.0,1134,3,1511,1434,1434.0
4,32.0,-70.0,1166,0,1549,1166,1464.0
7,28.0,-2.0,1194,3,1580,1494,1494.0
4,21.0,-11.0,1215,0,1604,1215,1514.0
7,19.0,-9.0,1234,3,1620,1534,1534.0
4,41.0,20.0,1275,0,1629,1275,1363.5
3,18.0,-1.0,1293,-1,1629,1193,1193.0
4,2.0,-39.0,1295,0,1621,1295,1194.0
